Season,Round,Circuit,Driver,Constructor,Laps,Position,TotalPitStops,AvgPitStopTime,PitStops
1960,4,Circuit Park Zandvoort,Graham Hill,BRM,75,3,0,,[]
1960,4,Circuit Park Zandvoort,Stirling Moss,Team Lotus,75,4,0,,[]
1960,4,Circuit Park Zandvoort,Wolfgang von Trips,Ferrari,74,5,0,,[]
1960,4,Circuit Park Zandvoort,Richie Ginther,Ferrari,74,6,0,,[]
1960,4,Circuit Park Zandvoort,Henry Taylor,Cooper-Climax,78,7,0,,[]
1960,4,Circuit Park Zandvoort,Carel Godin de Beaufort,Cooper-Climax,69,8,0,,[]
1960,4,Circuit Park Zandvoort,Alan Stacey,Team Lotus,57,9,0,,[]
1960,4,Circuit Park Zandvoort,Jo Bonnier,BRM,54,10,0,,[]
1960,4,Circuit Park Zandvoort,Phil Hill,Ferrari,54,11,0,,[]
1960,4,Circuit Park Zandvoort,Jim Clark,Team Lotus,42,12,0,,[]
1960,4,Circuit Park Zandvoort,Maurice Trintignant,Cooper-Maserati,39,13,0,,[]
1960,4,Circuit Park Zandvoort,Dan Gurney,BRM,11,14,0,,[]
1960,4,Circuit Park Zandvoort,Chris Bristow,Cooper-Climax,9,15,0,,[]
1960,4,Circuit Park Zandvoort,Bruce McLaren,Cooper-Climax,8,16,0,,[]
1960,4,Circuit Park Zandvoort,Tony Brooks,Cooper-Climax,4,17,0,,[]
1960,4,Circuit Park Zandvoort,Roy Salvadori,Aston Martin,0,18,0,,[]
1960,4,Circuit Park Zandvoort,Masten Gregory,Cooper-Maserati,0,19,0,,[]
1960,4,Circuit Park Zandvoort,Lance Reventlow,Scarab,0,20,0,,[]
1960,4,Circuit Park Zandvoort,Chuck Daigh,Scarab,0,21,0,,[]
1960,5,Circuit de Spa-Francorchamps,Jack Brabham,Cooper-Climax,36,1,0,,[]
1960,5,Circuit de Spa-Francorchamps,Bruce McLaren,Cooper-Climax,36,2,0,,[]
1960,5,Circuit de Spa-Francorchamps,Olivier Gendebien,Cooper-Climax,35,3,0,,[]
1960,5,Circuit de Spa-Francorchamps,Phil Hill,Ferrari,35,4,0,,[]
1960,5,Circuit de Spa-Francorchamps,Jim Clark,Team Lotus,34,5,0,,[]
1960,5,Circuit de Spa-Francorchamps,Lucien Bianchi,Cooper-Climax,28,6,0,,[]
1960,5,Circuit de Spa-Francorchamps,Graham Hill,BRM,35,7,0,,[]
1960,5,Circuit de Spa-Francorchamps,Alan Stacey,Team Lotus,24,8,0,,[]
1960,5,Circuit de Spa-Francorchamps,Willy Mairesse,Ferrari,23,9,0,,[]
1960,5,Circuit de Spa-Francorchamps,Wolfgang von Trips,Ferrari,22,10,0,,[]
1960,5,Circuit de Spa-Francorchamps,Chris Bristow,Cooper-Climax,19,11,0,,[]
1960,5,Circuit de Spa-Francorchamps,Chuck Daigh,Scarab,16,12,0,,[]
1960,5,Circuit de Spa-Francorchamps,Jo Bonnier,BRM,14,13,0,,[]
1960,5,Circuit de Spa-Francorchamps,Innes Ireland,Team Lotus,13,14,0,,[]
1960,5,Circuit de Spa-Francorchamps,Dan Gurney,BRM,4,15,0,,[]
1960,5,Circuit de Spa-Francorchamps,Tony Brooks,Cooper-Climax,2,16,0,,[]
1960,5,Circuit de Spa-Francorchamps,Lance Reventlow,Scarab,1,17,0,,[]
1960,5,Circuit de Spa-Francorchamps,Stirling Moss,Team Lotus,0,18,0,,[]
1960,5,Circuit de Spa-Francorchamps,Mike Taylor,Team Lotus,0,19,0,,[]
1960,6,Reims-Gueux,Jack Brabham,Cooper-Climax,50,1,0,,[]
1960,6,Reims-Gueux,Olivier Gendebien,Cooper-Climax,50,2,0,,[]
1960,6,Reims-Gueux,Bruce McLaren,Cooper-Climax,50,3,0,,[]
1960,6,Reims-Gueux,Henry Taylor,Cooper-Climax,49,4,0,,[]
1960,6,Reims-Gueux,Jim Clark,Team Lotus,49,5,0,,[]
1960,6,Reims-Gueux,Ron Flockhart,Team Lotus,49,6,0,,[]
1960,6,Reims-Gueux,Innes Ireland,Team Lotus,43,7,0,,[]
1960,6,Reims-Gueux,Bruce Halford,Cooper-Climax,40,8,0,,[]
1960,6,Reims-Gueux,Masten Gregory,Cooper-Maserati,37,9,0,,[]
1960,6,Reims-Gueux,Ian Burgess,Cooper-Maserati,36,10,0,,[]
1960,6,Reims-Gueux,Wolfgang von Trips,Ferrari,30,11,0,,[]
1960,6,Reims-Gueux,Phil Hill,Ferrari,29,12,0,,[]
1960,6,Reims-Gueux,Jo Bonnier,BRM,22,13,0,,[]
1960,6,Reims-Gueux,Lucien Bianchi,Cooper-Climax,18,14,0,,[]
1960,6,Reims-Gueux,Dan Gurney,BRM,17,15,0,,[]
1960,6,Reims-Gueux,Gino Munaron,Cooper-Castellotti,16,16,0,,[]
1960,6,Reims-Gueux,Willy Mairesse,Ferrari,14,17,0,,[]
1960,6,Reims-Gueux,Tony Brooks,Vanwall,7,18,0,,[]
1960,6,Reims-Gueux,Graham Hill,BRM,0,19,0,,[]
1960,6,Reims-Gueux,Maurice Trintignant,Cooper-Maserati,0,20,0,,[]
1960,6,Reims-Gueux,Richie Ginther,Scarab,0,21,0,,[]
1960,6,Reims-Gueux,David Piper,Team Lotus,0,22,0,,[]
1960,6,Reims-Gueux,Chuck Daigh,Scarab,0,23,0,,[]
1960,7,Silverstone Circuit,Jack Brabham,Cooper-Climax,77,1,0,,[]
1960,7,Silverstone Circuit,John Surtees,Team Lotus,77,2,0,,[]
1960,7,Silverstone Circuit,Innes Ireland,Team Lotus,77,3,0,,[]
1960,7,Silverstone Circuit,Bruce McLaren,Cooper-Climax,76,4,0,,[]
1960,7,Silverstone Circuit,Tony Brooks,Cooper-Climax,76,5,0,,[]
1960,7,Silverstone Circuit,Wolfgang von Trips,Ferrari,75,6,0,,[]
1960,7,Silverstone Circuit,Phil Hill,Ferrari,75,7,0,,[]
1960,7,Silverstone Circuit,Henry Taylor,Cooper-Climax,74,8,0,,[]
1960,7,Silverstone Circuit,Olivier Gendebien,Cooper-Climax,74,9,0,,[]
1960,7,Silverstone Circuit,Dan Gurney,BRM,74,10,0,,[]
1960,7,Silverstone Circuit,Maurice Trintignant,Aston Martin,72,11,0,,[]
1960,7,Silverstone Circuit,David Piper,Team Lotus,72,12,0,,[]
1960,7,Silverstone Circuit,Brian Naylor,JBW,72,13,0,,[]
1960,7,Silverstone Circuit,Masten Gregory,Cooper-Maserati,71,14,0,,[]
1960,7,Silverstone Circuit,Gino Munaron,Cooper-Castellotti,70,15,0,,[]
1960,7,Silverstone Circuit,Jim Clark,Team Lotus,70,16,0,,[]
1960,7,Silverstone Circuit,Graham Hill,BRM,71,17,0,,[]
1960,7,Silverstone Circuit,Lucien Bianchi,Cooper-Climax,62,18,0,,[]
1960,7,Silverstone Circuit,Jo Bonnier,BRM,59,19,0,,[]
1960,7,Silverstone Circuit,Chuck Daigh,Cooper-Climax,58,20,0,,[]
1960,7,Silverstone Circuit,Ian Burgess,Cooper-Maserati,58,21,0,,[]
1960,7,Silverstone Circuit,Roy Salvadori,Aston Martin,46,22,0,,[]
1960,7,Silverstone Circuit,Jack Fairman,Cooper-Climax,46,23,0,,[]
1960,7,Silverstone Circuit,Keith Greene,Cooper-Maserati,12,24,0,,[]
1960,7,Silverstone Circuit,Lance Reventlow,Cooper-Climax,0,25,0,,[]
1960,8,Circuito da Boavista,Jack Brabham,Cooper-Climax,55,1,0,,[]
1960,8,Circuito da Boavista,Bruce McLaren,Cooper-Climax,55,2,0,,[]
1960,8,Circuito da Boavista,Jim Clark,Team Lotus,55,3,0,,[]
1960,8,Circuito da Boavista,Wolfgang von Trips,Ferrari,55,4,0,,[]
1960,8,Circuito da Boavista,Tony Brooks,Cooper-Climax,49,5,0,,[]
1960,8,Circuito da Boavista,Innes Ireland,Team Lotus,48,6,0,,[]
1960,8,Circuito da Boavista,Olivier Gendebien,Cooper-Climax,46,7,0,,[]
1960,8,Circuito da Boavista,Stirling Moss,Team Lotus,51,8,0,,[]
1960,8,Circuito da Boavista,MÃ¡rio de AraÃºjo Cabral,Cooper-Maserati,38,9,0,,[]
1960,8,Circuito da Boavista,John Surtees,Team Lotus,37,10,0,,[]
1960,8,Circuito da Boavista,Phil Hill,Ferrari,30,11,0,,[]
1960,8,Circuito da Boavista,Dan Gurney,BRM,25,12,0,,[]
1960,8,Circuito da Boavista,Masten Gregory,Cooper-Maserati,21,13,0,,[]
1960,8,Circuito da Boavista,Graham Hill,BRM,9,14,0,,[]
1960,8,Circuito da Boavista,Jo Bonnier,BRM,6,15,0,,[]
1960,9,Autodromo Nazionale di Monza,Phil Hill,Ferrari,50,1,0,,[]
1960,9,Autodromo Nazionale di Monza,Richie Ginther,Ferrari,50,2,0,,[]
1960,9,Autodromo Nazionale di Monza,Willy Mairesse,Ferrari,49,3,0,,[]
1960,9,Autodromo Nazionale di Monza,Giulio Cabianca,Cooper-Castellotti,48,4,0,,[]
1960,9,Autodromo Nazionale di Monza,Wolfgang von Trips,Ferrari,48,5,0,,[]
1960,9,Autodromo Nazionale di Monza,Hans Herrmann,Porsche,47,6,0,,[]
1960,9,Autodromo Nazionale di Monza,Edgar Barth,Porsche,47,7,0,,[]
1960,9,Autodromo Nazionale di Monza,Piero Drogo,Cooper-Climax,45,8,0,,[]
1960,9,Autodromo Nazionale di Monza,Wolfgang Seidel,Cooper-Climax,44,9,0,,[]
1960,9,Autodromo Nazionale di Monza,Fred Gamble,Behra-Porsche,41,10,0,,[]
1960,9,Autodromo Nazionale di Monza,Brian Naylor,JBW,41,11,0,,[]
1960,9,Autodromo Nazionale di Monza,Alfonso Thiele,Cooper-Maserati,32,12,0,,[]
1960,9,Autodromo Nazionale di Monza,Gino Munaron,Cooper-Castellotti,27,13,0,,[]
1960,9,Autodromo Nazionale di Monza,Giorgio Scarlatti,Cooper-Maserati,26,14,0,,[]
1960,9,Autodromo Nazionale di Monza,Vic Wilson,Cooper-Climax,23,15,0,,[]
1960,9,Autodromo Nazionale di Monza,Arthur Owen,Cooper-Climax,0,16,0,,[]
1960,9,Autodromo Nazionale di Monza,Horace Gould,Maserati,0,17,0,,[]
1960,10,Riverside International Raceway,Stirling Moss,Team Lotus,75,1,0,,[]
1960,10,Riverside International Raceway,Innes Ireland,Team Lotus,75,2,0,,[]
1960,10,Riverside International Raceway,Bruce McLaren,Cooper-Climax,75,3,0,,[]
1960,10,Riverside International Raceway,Jack Brabham,Cooper-Climax,74,4,0,,[]
1960,10,Riverside International Raceway,Jo Bonnier,BRM,74,5,0,,[]
1960,10,Riverside International Raceway,Phil Hill,Cooper-Climax,74,6,0,,[]
1960,10,Riverside International Raceway,Jim Hall,Team Lotus,73,7,0,,[]
1960,10,Riverside International Raceway,Roy Salvadori,Cooper-Climax,73,8,0,,[]
1960,10,Riverside International Raceway,Wolfgang von Trips,Cooper-Maserati,72,9,0,,[]
1960,10,Riverside International Raceway,Chuck Daigh,Scarab,70,10,0,,[]
1960,10,Riverside International Raceway,Pete Lovely,Cooper-Castellotti,69,11,0,,[]
1960,10,Riverside International Raceway,Olivier Gendebien,Cooper-Climax,69,12,0,,[]
1960,10,Riverside International Raceway,Bob Drake,Maserati,68,13,0,,[]
1960,10,Riverside International Raceway,Henry Taylor,Cooper-Climax,68,14,0,,[]
1960,10,Riverside International Raceway,Maurice Trintignant,Cooper-Maserati,66,15,0,,[]
1960,10,Riverside International Raceway,Jim Clark,Team Lotus,61,16,0,,[]
1960,10,Riverside International Raceway,Graham Hill,BRM,34,17,0,,[]
1960,10,Riverside International Raceway,Ian Burgess,Cooper-Maserati,29,18,0,,[]
1960,10,Riverside International Raceway,Brian Naylor,Cooper-Maserati,20,19,0,,[]
1960,10,Riverside International Raceway,Dan Gurney,BRM,18,20,0,,[]
1960,10,Riverside International Raceway,Ron Flockhart,Cooper-Climax,11,21,0,,[]
1960,10,Riverside International Raceway,Tony Brooks,Cooper-Climax,6,22,0,,[]
1960,10,Riverside International Raceway,John Surtees,Team Lotus,3,23,0,,[]
1961,1,Circuit de Monaco,Stirling Moss,Lotus-Climax,100,1,0,,[]
1961,1,Circuit de Monaco,Richie Ginther,Ferrari,100,2,0,,[]
1961,1,Circuit de Monaco,Phil Hill,Ferrari,100,3,0,,[]
1961,1,Circuit de Monaco,Wolfgang von Trips,Ferrari,98,4,0,,[]
1961,1,Circuit de Monaco,Dan Gurney,Porsche,98,5,0,,[]
1961,1,Circuit de Monaco,Bruce McLaren,Cooper-Climax,95,6,0,,[]
1961,1,Circuit de Monaco,Maurice Trintignant,Cooper-Maserati,95,7,0,,[]
1961,1,Circuit de Monaco,Cliff Allison,Lotus-Climax,93,8,0,,[]
1961,1,Circuit de Monaco,Hans Herrmann,Porsche,91,9,0,,[]
1961,1,Circuit de Monaco,Jim Clark,Lotus-Climax,89,10,0,,[]
1961,1,Circuit de Monaco,John Surtees,Cooper-Climax,68,11,0,,[]
1961,1,Circuit de Monaco,Jo Bonnier,Porsche,59,12,0,,[]
1961,1,Circuit de Monaco,Tony Brooks,BRM,54,13,0,,[]
1961,1,Circuit de Monaco,Michael May,Lotus-Climax,42,14,0,,[]
1961,1,Circuit de Monaco,Jack Brabham,Cooper-Climax,38,15,0,,[]
1961,1,Circuit de Monaco,Graham Hill,BRM,11,16,0,,[]
1961,1,Circuit de Monaco,Innes Ireland,Lotus-Climax,0,17,0,,[]
1961,1,Circuit de Monaco,Henry Taylor,Lotus-Climax,0,18,0,,[]
1961,1,Circuit de Monaco,Masten Gregory,Cooper-Climax,0,19,0,,[]
1961,1,Circuit de Monaco,Lucien Bianchi,Emeryson,0,20,0,,[]
1961,1,Circuit de Monaco,Olivier Gendebien,Emeryson,0,21,0,,[]
1961,2,Circuit Park Zandvoort,Wolfgang von Trips,Ferrari,75,1,0,,[]
1961,2,Circuit Park Zandvoort,Phil Hill,Ferrari,75,2,0,,[]
1961,2,Circuit Park Zandvoort,Jim Clark,Lotus-Climax,75,3,0,,[]
1961,2,Circuit Park Zandvoort,Stirling Moss,Lotus-Climax,75,4,0,,[]
1961,2,Circuit Park Zandvoort,Richie Ginther,Ferrari,75,5,0,,[]
1961,2,Circuit Park Zandvoort,Jack Brabham,Cooper-Climax,75,6,0,,[]
1961,2,Circuit Park Zandvoort,John Surtees,Cooper-Climax,75,7,0,,[]
1961,2,Circuit Park Zandvoort,Graham Hill,BRM,75,8,0,,[]
1961,2,Circuit Park Zandvoort,Tony Brooks,BRM,74,9,0,,[]
1961,2,Circuit Park Zandvoort,Dan Gurney,Porsche,74,10,0,,[]
1961,2,Circuit Park Zandvoort,Jo Bonnier,Porsche,73,11,0,,[]
1961,2,Circuit Park Zandvoort,Bruce McLaren,Cooper-Climax,73,12,0,,[]
1961,2,Circuit Park Zandvoort,Trevor Taylor,Lotus-Climax,73,13,0,,[]
1961,2,Circuit Park Zandvoort,Carel Godin de Beaufort,Porsche,72,14,0,,[]
1961,2,Circuit Park Zandvoort,Hans Herrmann,Porsche,72,15,0,,[]
1961,2,Circuit Park Zandvoort,Masten Gregory,Cooper-Climax,0,16,0,,[]
1961,2,Circuit Park Zandvoort,Ian Burgess,Lotus-Climax,0,17,0,,[]
1961,3,Circuit de Spa-Francorchamps,Phil Hill,Ferrari,30,1,0,,[]
1961,3,Circuit de Spa-Francorchamps,Wolfgang von Trips,Ferrari,30,2,0,,[]
1961,3,Circuit de Spa-Francorchamps,Richie Ginther,Ferrari,30,3,0,,[]
1961,3,Circuit de Spa-Francorchamps,Olivier Gendebien,Ferrari,30,4,0,,[]
1961,3,Circuit de Spa-Francorchamps,John Surtees,Cooper-Climax,30,5,0,,[]
1961,3,Circuit de Spa-Francorchamps,Dan Gurney,Porsche,30,6,0,,[]
1961,3,Circuit de Spa-Francorchamps,Jo Bonnier,Porsche,30,7,0,,[]
1961,3,Circuit de Spa-Francorchamps,Stirling Moss,Lotus-Climax,30,8,0,,[]
1961,3,Circuit de Spa-Francorchamps,Jackie Lewis,Cooper-Climax,29,9,0,,[]
1961,3,Circuit de Spa-Francorchamps,Masten Gregory,Cooper-Climax,29,10,0,,[]
1961,3,Circuit de Spa-Francorchamps,Carel Godin de Beaufort,Porsche,28,11,0,,[]
1961,3,Circuit de Spa-Francorchamps,Jim Clark,Lotus-Climax,24,12,0,,[]
1961,3,Circuit de Spa-Francorchamps,Tony Brooks,BRM,24,13,0,,[]
1961,3,Circuit de Spa-Francorchamps,Graham Hill,BRM,24,14,0,,[]
1961,3,Circuit de Spa-Francorchamps,Maurice Trintignant,Cooper-Maserati,23,15,0,,[]
1961,3,Circuit de Spa-Francorchamps,Lorenzo Bandini,Cooper-Maserati,20,16,0,,[]
1961,3,Circuit de Spa-Francorchamps,Jack Brabham,Cooper-Climax,12,17,0,,[]
1961,3,Circuit de Spa-Francorchamps,Bruce McLaren,Cooper-Climax,9,18,0,,[]
1961,3,Circuit de Spa-Francorchamps,Innes Ireland,Lotus-Climax,9,19,0,,[]
1961,3,Circuit de Spa-Francorchamps,Lucien Bianchi,Lotus-Climax,9,20,0,,[]
1961,3,Circuit de Spa-Francorchamps,Willy Mairesse,Lotus-Climax,7,21,0,,[]
1961,3,Circuit de Spa-Francorchamps,Tony Marsh,Lotus-Climax,0,22,0,,[]
1961,3,Circuit de Spa-Francorchamps,Wolfgang Seidel,Lotus-Climax,0,23,0,,[]
1961,3,Circuit de Spa-Francorchamps,Ian Burgess,Lotus-Climax,0,24,0,,[]
1961,3,Circuit de Spa-Francorchamps,Cliff Allison,Lotus-Climax,0,25,0,,[]
1961,3,Circuit de Spa-Francorchamps,Henry Taylor,Lotus-Climax,0,26,0,,[]
1961,4,Reims-Gueux,Giancarlo Baghetti,Ferrari,52,1,0,,[]
1961,4,Reims-Gueux,Dan Gurney,Porsche,52,2,0,,[]
1961,4,Reims-Gueux,Jim Clark,Lotus-Climax,52,3,0,,[]
1961,4,Reims-Gueux,Innes Ireland,Lotus-Climax,52,4,0,,[]
1961,4,Reims-Gueux,Bruce McLaren,Cooper-Climax,52,5,0,,[]
1961,4,Reims-Gueux,Graham Hill,BRM,52,6,0,,[]
1961,4,Reims-Gueux,Jo Bonnier,Porsche,52,7,0,,[]
1961,4,Reims-Gueux,Roy Salvadori,Cooper-Climax,51,8,0,,[]
1961,4,Reims-Gueux,Phil Hill,Ferrari,50,9,0,,[]
1961,4,Reims-Gueux,Henry Taylor,Lotus-Climax,49,10,0,,[]
1961,4,Reims-Gueux,Michael May,Lotus-Climax,48,11,0,,[]
1961,4,Reims-Gueux,Masten Gregory,Cooper-Climax,43,12,0,,[]
1961,4,Reims-Gueux,Maurice Trintignant,Cooper-Maserati,42,13,0,,[]
1961,4,Reims-Gueux,Ian Burgess,Lotus-Climax,42,14,0,,[]
1961,4,Reims-Gueux,Richie Ginther,Ferrari,40,15,0,,[]
1961,4,Reims-Gueux,Stirling Moss,Lotus-Climax,31,16,0,,[]
1961,4,Reims-Gueux,Willy Mairesse,Lotus-Climax,27,17,0,,[]
1961,4,Reims-Gueux,Carel Godin de Beaufort,Porsche,23,18,0,,[]
1961,4,Reims-Gueux,Lucien Bianchi,Lotus-Climax,21,19,0,,[]
1961,4,Reims-Gueux,Wolfgang von Trips,Ferrari,18,20,0,,[]
1961,4,Reims-Gueux,Giorgio Scarlatti,De Tomaso-Osca,15,21,0,,[]
1961,4,Reims-Gueux,Jack Brabham,Cooper-Climax,14,22,0,,[]
1961,4,Reims-Gueux,Bernard Collomb,Cooper-Climax,6,23,0,,[]
1961,4,Reims-Gueux,John Surtees,Cooper-Climax,4,24,0,,[]
1961,4,Reims-Gueux,Tony Brooks,BRM,4,25,0,,[]
1961,4,Reims-Gueux,Jackie Lewis,Cooper-Climax,4,26,0,,[]
1961,4,Reims-Gueux,Wolfgang Seidel,Lotus-Climax,0,27,0,,[]
1961,4,Reims-Gueux,Juan Manuel Bordeu,Lotus-Climax,0,28,0,,[]
1961,4,Reims-Gueux,Hans Herrmann,Porsche,0,29,0,,[]
1961,4,Reims-Gueux,Olivier Gendebien,Emeryson,0,30,0,,[]
1961,4,Reims-Gueux,Brian Naylor,JBW,0,31,0,,[]
1961,5,Aintree,Wolfgang von Trips,Ferrari,75,1,0,,[]
1961,5,Aintree,Phil Hill,Ferrari,75,2,0,,[]
1961,5,Aintree,Richie Ginther,Ferrari,75,3,0,,[]
1961,5,Aintree,Jack Brabham,Cooper-Climax,75,4,0,,[]
1961,5,Aintree,Jo Bonnier,Porsche,75,5,0,,[]
1961,5,Aintree,Roy Salvadori,Cooper-Climax,75,6,0,,[]
1961,5,Aintree,Dan Gurney,Porsche,74,7,0,,[]
1961,5,Aintree,Bruce McLaren,Cooper-Climax,74,8,0,,[]
1961,5,Aintree,Tony Brooks,BRM,73,9,0,,[]
1961,5,Aintree,Innes Ireland,Lotus-Climax,72,10,0,,[]
1961,5,Aintree,Masten Gregory,Cooper-Climax,71,11,0,,[]
1961,5,Aintree,Lorenzo Bandini,Cooper-Maserati,71,12,0,,[]
1961,5,Aintree,Tony Maggs,Lotus-Climax,69,13,0,,[]
1961,5,Aintree,Ian Burgess,Lotus-Climax,69,14,0,,[]
1961,5,Aintree,Keith Greene,Gilby,69,15,0,,[]
1961,5,Aintree,Carel Godin de Beaufort,Porsche,69,16,0,,[]
1961,5,Aintree,Wolfgang Seidel,Lotus-Climax,58,17,0,,[]
1961,5,Aintree,Jim Clark,Lotus-Climax,62,18,0,,[]
1961,5,Aintree,Jack Fairman,Ferguson,56,19,0,,[]
1961,5,Aintree,Stirling Moss,Ferguson,56,19,0,,[]
1961,5,Aintree,Lucien Bianchi,Lotus-Climax,45,20,0,,[]
1961,5,Aintree,Stirling Moss,Lotus-Climax,44,21,0,,[]
1961,5,Aintree,Graham Hill,BRM,43,22,0,,[]
1961,5,Aintree,Giancarlo Baghetti,Ferrari,27,23,0,,[]
1961,5,Aintree,Tony Marsh,Lotus-Climax,25,24,0,,[]
1961,5,Aintree,John Surtees,Cooper-Climax,23,25,0,,[]
1961,5,Aintree,Tim Parnell,Lotus-Climax,12,26,0,,[]
1961,5,Aintree,Jackie Lewis,Cooper-Climax,7,27,0,,[]
1961,5,Aintree,Gerry Ashmore,Lotus-Climax,7,28,0,,[]
1961,5,Aintree,Henry Taylor,Lotus-Climax,5,29,0,,[]
1961,5,Aintree,Massimo Natili,Cooper-Maserati,0,30,0,,[]
1961,5,Aintree,Olivier Gendebien,Emeryson,0,31,0,,[]
1961,6,NÃ¼rburgring,Stirling Moss,Lotus-Climax,15,1,0,,[]
1961,6,NÃ¼rburgring,Wolfgang von Trips,Ferrari,15,2,0,,[]
1961,6,NÃ¼rburgring,Phil Hill,Ferrari,15,3,0,,[]
1961,6,NÃ¼rburgring,Jim Clark,Lotus-Climax,15,4,0,,[]
1961,6,NÃ¼rburgring,John Surtees,Cooper-Climax,15,5,0,,[]
1961,6,NÃ¼rburgring,Bruce McLaren,Cooper-Climax,15,6,0,,[]
1961,6,NÃ¼rburgring,Dan Gurney,Porsche,15,7,0,,[]
1961,6,NÃ¼rburgring,Richie Ginther,Ferrari,15,8,0,,[]
1961,6,NÃ¼rburgring,Jackie Lewis,Cooper-Climax,15,9,0,,[]
1961,6,NÃ¼rburgring,Roy Salvadori,Cooper-Climax,15,10,0,,[]
1961,6,NÃ¼rburgring,Tony Maggs,Lotus-Climax,14,11,0,,[]
1961,6,NÃ¼rburgring,Ian Burgess,Cooper-Climax,14,12,0,,[]
1961,6,NÃ¼rburgring,Hans Herrmann,Porsche,14,13,0,,[]
1961,6,NÃ¼rburgring,Carel Godin de Beaufort,Porsche,14,14,0,,[]
1961,6,NÃ¼rburgring,Tony Marsh,Lotus-Climax,13,15,0,,[]
1961,6,NÃ¼rburgring,Gerry Ashmore,Lotus-Climax,13,16,0,,[]
1961,6,NÃ¼rburgring,Willy Mairesse,Ferrari,13,17,0,,[]
1961,6,NÃ¼rburgring,Maurice Trintignant,Cooper-Maserati,12,18,0,,[]
1961,6,NÃ¼rburgring,Bernard Collomb,Cooper-Climax,11,19,0,,[]
1961,6,NÃ¼rburgring,Lorenzo Bandini,Cooper-Maserati,10,20,0,,[]
1961,6,NÃ¼rburgring,Tony Brooks,BRM,6,21,0,,[]
1961,6,NÃ¼rburgring,Jo Bonnier,Porsche,5,22,0,,[]
1961,6,NÃ¼rburgring,Wolfgang Seidel,Lotus-Climax,3,23,0,,[]
1961,6,NÃ¼rburgring,Graham Hill,BRM,1,24,0,,[]
1961,6,NÃ¼rburgring,Innes Ireland,Lotus-Climax,1,25,0,,[]
1961,6,NÃ¼rburgring,Jack Brabham,Cooper-Climax,0,26,0,,[]
1961,6,NÃ¼rburgring,Edgar Barth,Porsche,0,27,0,,[]
1961,6,NÃ¼rburgring,Masten Gregory,Cooper-Climax,0,28,0,,[]
1961,6,NÃ¼rburgring,Michael May,Lotus-Climax,0,29,0,,[]
1961,6,NÃ¼rburgring,Peter Monteverdi,MBM,0,30,0,,[]
1961,6,NÃ¼rburgring,Renato Pirocchi,Cooper-Climax,0,31,0,,[]
1961,6,NÃ¼rburgring,Geoff Duke,Cooper-Climax,0,32,0,,[]
1961,6,NÃ¼rburgring,John Campbell-Jones,Cooper-Climax,0,33,0,,[]
1961,7,Autodromo Nazionale di Monza,Phil Hill,Ferrari,43,1,0,,[]
1961,7,Autodromo Nazionale di Monza,Dan Gurney,Porsche,43,2,0,,[]
1961,7,Autodromo Nazionale di Monza,Bruce McLaren,Cooper-Climax,43,3,0,,[]
1961,7,Autodromo Nazionale di Monza,Jackie Lewis,Cooper-Climax,43,4,0,,[]
1961,7,Autodromo Nazionale di Monza,Tony Brooks,BRM,43,5,0,,[]
1961,7,Autodromo Nazionale di Monza,Roy Salvadori,Cooper-Climax,42,6,0,,[]
1961,7,Autodromo Nazionale di Monza,Carel Godin de Beaufort,Porsche,41,7,0,,[]
1961,7,Autodromo Nazionale di Monza,Lorenzo Bandini,Cooper-Maserati,41,8,0,,[]
1961,7,Autodromo Nazionale di Monza,Maurice Trintignant,Cooper-Maserati,41,9,0,,[]
1961,7,Autodromo Nazionale di Monza,Tim Parnell,Lotus-Climax,40,10,0,,[]
1961,7,Autodromo Nazionale di Monza,Henry Taylor,Lotus-Climax,39,11,0,,[]
1961,7,Autodromo Nazionale di Monza,Renato Pirocchi,Cooper-Maserati,38,12,0,,[]
1961,7,Autodromo Nazionale di Monza,Stirling Moss,Lotus-Climax,36,13,0,,[]
1961,7,Autodromo Nazionale di Monza,Richie Ginther,Ferrari,23,14,0,,[]
1961,7,Autodromo Nazionale di Monza,Gaetano Starrabba,Lotus-Maserati,19,15,0,,[]
1961,7,Autodromo Nazionale di Monza,Jo Bonnier,Porsche,14,16,0,,[]
1961,7,Autodromo Nazionale di Monza,Ricardo RodrÃ­guez,Ferrari,13,17,0,,[]
1961,7,Autodromo Nazionale di Monza,Giancarlo Baghetti,Ferrari,13,18,0,,[]
1961,7,Autodromo Nazionale di Monza,Nino Vaccarella,De Tomaso-Alfa Romeo,13,19,0,,[]
1961,7,Autodromo Nazionale di Monza,Masten Gregory,Lotus-Climax,11,20,0,,[]
1961,7,Autodromo Nazionale di Monza,Graham Hill,BRM,10,21,0,,[]
1961,7,Autodromo Nazionale di Monza,Jack Brabham,Cooper-Climax,8,22,0,,[]
1961,7,Autodromo Nazionale di Monza,Brian Naylor,JBW,6,23,0,,[]
1961,7,Autodromo Nazionale di Monza,Innes Ireland,Lotus-Climax,5,24,0,,[]
1961,7,Autodromo Nazionale di Monza,Jack Fairman,Cooper-Climax,5,25,0,,[]
1961,7,Autodromo Nazionale di Monza,John Surtees,Cooper-Climax,2,26,0,,[]
1961,7,Autodromo Nazionale di Monza,Wolfgang von Trips,Ferrari,1,27,0,,[]
1961,7,Autodromo Nazionale di Monza,Jim Clark,Lotus-Climax,1,28,0,,[]
